Field1,Time,Field2
" Kolkata: Accident claims techie, seventh victim in festive week ","TNN / Oct 17, 2021, 04:02 (IST)"," A 24-year-old techie, riding a colleague’s motorbike, was killed and the colleague riding pillion was severely injured after they dashed into the guardrails of Ultadanga flyover on Saturday morning. "
 Bodies of five more armed forces personnel killed in chopper crash identified ,"PTI / Dec 11, 2021, 09:15 (IST)"," The armed forces personnel whose bodies were identified in the last few hours are Junior Warrant Officer (JWO) Pradeep, Wing Commander PS Chauhan, JWO Rana Pratap Das, Lance Naik B Sai Teja and Lance Naik Vivek Kumar. The bodies are being taken to the home towns of the five personnel by air for last rites with appropriate military honour, officials said. "
" Driver mistakes floating chestnut crop as solid ground, van plunges into pond killing four ","TNN / Oct 16, 2021, 04:58 (IST)",  
" One dead, 15 injured as bus, truck collide inside tunnel in Himachal Pradesh "," Oct 14, 2021, 23:12 (IST)"," According to police, the bus and the truck had a head-on collision inside the tunnel. While the truck driver dies, 15 passengers of the bus, including some tourists, sustained injuries. The deceased has been identified as Ganesh Kushwaha, 30, resident of Uttar Pradesh. "
" Kolkata: Accident kills one, kite string injures biker ","TNN / Jun 03, 2021, 11:15 (IST)"," One person died and five were injured in three accidents across the city since Monday evening. One of the accidents involved manja on Maa flyover. A biker, Nilendu Guha (32), from Sankrail in Howrah, lost control and hit the divider after exiting Vidyasagar Setu on Monday evening. He died at SSKM Hospital on Tuesday. "
" Maharashtra: Girl dead, her three relatives injured as SUV hits motorcycle ","PTI / Oct 14, 2021, 17:49 (IST)"," A nine-year-old girl was killed and three of her relatives, including her elder sister, were seriously injured when a sports utility vehicle (SUV) hit their motorcycle near Sawargaon in Maharashtra's Nagpur district, police said on Thursday. "
 Six die in road accident in Karnataka ,"PTI / Sep 12, 2021, 20:43 (IST)",  
 Three of family Killed in accident near Jamnagar ,"TNN / Apr 01, 2021, 04:45 (IST)",  
 BTech student Killed in accident ,"TNN / Mar 05, 2021, 04:51 (IST)",  
 Ludhiana civic body truck kills woman ,"TNN / Mar 21, 2021, 12:55 (IST)", A speeding truck of Ludhiana Municipal Corporation crushed a 21-year-old woman to death near Manna Singh Chowk on Saturday afternoon. She was returning home on a scooter after attending her IELTS class. The truck driver escaped from the spot. 
" Three killed as Mercedes car hits taxi, cycle in Mohali ","TNN / Mar 21, 2021, 07:15 (IST)", Three people were killed and three others injured after a speeding Mercedes-Benz car rammed into a taxi and a cycle at the Radha Swami light point on the airport road here on Saturday. 
" Elderly woman killed, 20 injured as vehicle overturns in Bengal ","PTI / Feb 18, 2021, 16:58 (IST)"," An 80-year-old woman was killed and 20 others were injured when a mini-truck carrying them overturned in West Bengal's North 24 Parganas district on Thursday, police said. "
 Mathura: 7 killed as oil tanker rams into car on Yamuna Expressway ,"TNN / Feb 24, 2021, 13:36 (IST)", Seven people were killed after an oil tanker rammed into their car on the Yamuna Expressway in Uttar Pradesh’s Mathura late on Tuesday. 
" Haryana: 2 killed, 3 injured in road accidents in Karnal ","TNN / May 02, 2021, 04:32 (IST)", Two persons were killed and three others sustained injuries in two different road accidents in Karnal. 
 24% of road accident victims pedestrians ,"TNN / Sep 11, 2021, 04:27 (IST)",  
" Pilot killed as MiG-21 goes down, 3rd death in 5th crash this year ","TNN / Dec 25, 2021, 03:57 (IST)",  
" Car loses control on Udaipur Highway, 4 killed ","PTI / Nov 18, 2021, 23:05 (IST)"," Three persons died on the spot while another succumbed during treatment at a hospital, he said. "
 Ambernath policeman killed in road accident ,"TNN / Apr 02, 2021, 14:45 (IST)", An assistant sub inspector Chandrakant Bhagwat posted with Shivaji Nagar police station in Ambernath died in road accident on Thursday. 
" Tamil Nadu: Six, including boy, 12, dead as car rams bus ","TNN / Aug 31, 2021, 06:54 (IST)"," Six people, including a 12-year-old boy, were killed when the SUV in which they were travelling collided head-on with a Tamil Nadu State Transport Corporation (TNSTC) bus near Kallakurichi on Sunday night. "
" Bihar: 6 killed, 7 injured in separate road accidents ","TNN / May 29, 2021, 21:37 (IST)"," In the first incident, a daily wager Sukhdev Chauhan (65) and Bahadur Kumar (25) were killed after a truck rammed head on the van in which they were travelling on NH-31 under Mufassil police station area in Nawada at around 6am on Saturday. "
 Three killed in road accident in Visakhapatnam ,"TNN / Mar 21, 2021, 13:15 (IST)", Three people were killed after their bike hit a road side tree near PP Agraharam village under Makavarapalem Mandal in Visakhapatnam district on Saturday night. 
" 1 dead, 3 injured as speeding car rams 2 vehicles "," Oct 12, 2021, 04:31 (IST)",  
" Two dead, three critically hurt after truck rams into parked dumper in US Nagar ","TNN / Oct 11, 2021, 04:42 (IST)",  
 Kolkata: High-speed EM Bypass bike ride ends in fatal crash for man ,"TNN / Oct 11, 2021, 04:57 (IST)"," A 27-year-old man was killed and his 25-year-old wife is battling for life after their bike hit a median divider on EM Bypass, between Metropolitan and Chingrighata crossings near Captain Bheri in the early hours of Sunday. The duo from Garia Nathpara, were headed to the Sreebhumi Puja pandal when the accident happened around 2.10am. "
 11 people killed in passenger vehicle accident in Pakistan: Report ,"PTI / May 29, 2021, 15:20 (IST)",  
 Karnataka: 5 women killed as two vehicles collide head-on ,"PTI / Apr 21, 2021, 18:53 (IST)"," Five women were killed when a tumtum (a long autorickshaw) collided head-on with a truck at Shahapur Taluk in Karnataka on Wednesday, police said. "
 3 Delhi residents killed in car crash on UP highway ,"TNN / Oct 11, 2021, 04:20 (IST)",  
 Patna: 25-year-old crushed to death by truck ,"TNN / Oct 10, 2021, 04:00 (IST)", An angry mob torched a cement-laden truck after it ran over two brothers killing one of them and injuring the other on NH-30 near Nandlal Chhapra under the Agamkuan police station area in Patna City on Saturday evening. They also damaged a few other vehicles on the accident spot. 
 6 Bihar students on way to Sirsa to work & pay for school die in crash ,"TNN / Mar 12, 2021, 04:51 (IST)"," Six students who had just given their Class X boards with the Bihar State Education Board died on their way to Sirsa, where they were going to work and put together money to be able to pay for their next session in school. Three more died with them and three others were injured in the early morning accident on the Agra-Kanpur highway near Mandi Samiti in Agra on Thursday. "
 Autorickshaw driver Killed in accident ,"TNN / Feb 23, 2021, 04:41 (IST)",  
 Rajasthan: Couple among four killed in road accident ,"PTI / Apr 02, 2021, 16:51 (IST)"," Four people, including a couple, were killed on Friday when a truck carrying marble stone overturned on a car passing by it in Rajasthan's Pali district, police said. "
" Six killed, 10 injured in road mishap in Pakistan ","ANI / Nov 16, 2021, 13:23 (IST)",  
 Two men die in road accident ,"TNN / Sep 07, 2021, 04:18 (IST)",  
" Delhi: Man rams car into police picket after falling asleep, kills constable ","PTI / May 01, 2021, 14:18 (IST)"," A 42-year-old man allegedly rammed his car into a police picket killing a constable in southwest Delhi's Vasant Vihar area early on Saturday morning, officials said.​ "
" Five killed as car jumps divider, rams ST bus ","TNN / Nov 24, 2021, 04:29 (IST)",  
" Six killed, four injured in two-car collision in Haryana's Kaithal ","PTI / Nov 30, 2021, 19:45 (IST)"," While one car involved in the accident was headed from Jind to Pundri, the other vehicle was travelling from Dabkhedi in Kurukshetra to Malar village in Safidon, police said. "
 Indian Gaur killed in road accident ,"TNN / Mar 08, 2021, 04:33 (IST)",  
 Andhra Pradesh: Two motorists killed in road accident in Chittoor district ,"TNN / May 31, 2021, 10:19 (IST)", Two motorists were killed on the spot after a speeding car rammed into their bike at Kurabalakota mandal in Andhra Pradesh's Chittoor district on Monday morning. 
" nCov patient, 2 others Killed in accident ","TNN / Apr 18, 2021, 04:16 (IST)",  
" Two dead, 5 injured as truck hits parked lorry on Eastern Peripheral Expressway ","TNN / Mar 10, 2021, 04:05 (IST)"," In yet another accident in Gautam Budh Nagar, two persons were killed and five others sustained injuries after a speeding truck crashed into a stationary lorry parked on a side of the Eastern Peripheral Expressway (EPE) in the early hours of Tuesday. "
" Pune: Drunk driver veers car onto footpath, kills financial firm vice-president walking with wife, son ","TNN / Mar 10, 2021, 04:43 (IST)", A 30-year-old Akurdi resident lost control over his car and killed the vice-president of a city-based financial services firm who was walking on the pavement at Kharadi with his wife and nine-year-old son in the early hours of Sunday. 
" One killed, three injured in road accident in Kolkata ","PTI / May 07, 2021, 17:13 (IST)"," One person was killed and three others, including a policeman, were injured when a speeding four-wheeler hit them in the southern part of the city's Kasba area on Friday morning, police said. Four persons, including the driver of the BMW, were arrested, police said. "
 Man killed in road accident ,"TNN / Feb 28, 2021, 04:19 (IST)",  
 3 killed in motorcycle-truck collision in West Bengal ,"PTI / Jan 18, 2021, 21:42 (IST)"," Three persons were killed after the motorcycle they were travelling on collided with a truck in West Bengal's Nadia district on Monday, police said. "
 Gujarat man gets wife killed in road 'accident' to claim insurance ,"PTI / Feb 06, 2021, 21:45 (IST)"," A chartered accountant from Gujarat's Banaskantha district has been arrested for allegedly killing his wife and making it look like a road accident in order to claim Rs 60 lakh as insurance, police said on Saturday. "
 Madhya Pradesh: Three SBI employees die in Khargone accident ,"TNN / Oct 10, 2021, 06:25 (IST)", Three SBI employees were killed and two critically injured when their SUV crashed into the wall of a culvert in Bagarda area of MP’s Khargone district in the wee hours of Saturday. 
" Hyderabad: Not two, 3 men were in Porsche that killed 2 at Banjara Hills Road ","TNN / Dec 12, 2021, 06:47 (IST)"," There was a third person in the speeding Porsche that was involved in a hit-and-run accident at Banjara Hills Road Number 2 on December 6, which left two people dead. The third name - K Venkatesh, 27, a construction businessman from LB Nagar - was added to the FIR after the two arrested men confessed that he was with them in the car at the time of the accident. "
 MVI killed as vehicle he tried to stop hits him ," Nov 23, 2021, 04:00 (IST)",  
 Rajasthan: RPF cop dies after bike hits his scooter on Kota bridge ,"TNN / Oct 08, 2021, 04:02 (IST)"," Rajasthan, RPF cop, Kota, Bundi, accident, death "
" West Godavari: Two killed, 18 hurt in road accident in Jangareddigudem ","TNN / Mar 08, 2021, 04:30 (IST)"," Collision between a lorry and a parked tractor resulted in the deaths of two persons and injuries to 18 others in West Godavari’s Jangareddigudem in the early hours of Sunday. Of the injured, the condition of two is said to be critical. "
